atm_id,bank_name,lat,lon,district,state,monthly_txn_vol,risk_zone,x_m,y_m,spatial_cluster,risk_score,peak_hour
ATM00001,HDFC,26.758878,81.2617,Lucknow,Uttar Pradesh,909,MEDIUM,8257705.941061724,2970235.458,169,0.20711726956229667,18
ATM00002,AXIS,27.009096,81.015261,Lucknow,Uttar Pradesh,4157,LOW,8232663.137448098,2998009.656,84,0.4499149408235311,20
ATM00003,HDFC,26.605913,80.705396,Lucknow,Uttar Pradesh,11587,MEDIUM,8201175.068020224,2953256.3430000003,25,0.1487538824960782,15
ATM00004,UNION,26.537359,81.202523,Lucknow,Uttar Pradesh,1924,MEDIUM,8251692.452979709,2945646.849,111,0.43445379658349775,16
ATM00005,SBI,26.917481,81.091851,Lucknow,Uttar Pradesh,988,LOW,8240446.111444778,2987840.391,184,0.028215404284317427,19
ATM00006,AXIS,26.511109,81.275137,Lucknow,Uttar Pradesh,8779,MEDIUM,8259071.391141281,2942733.099,111,0.43445379658349775,16
ATM00007,UNION,27.07941,80.744837,Lucknow,Uttar Pradesh,3757,MEDIUM,8205183.010015302,3005814.51,110,0.3456711278711885,11
ATM00008,UNION,26.623977,80.724583,Lucknow,Uttar Pradesh,7373,LOW,8203124.82545689,2955261.447,25,0.1487538824960782,15
ATM00009,IDBI,26.70967,80.96353,Kanpur Nagar,Uttar Pradesh,5057,MEDIUM,8227406.301988872,2964773.37,59,0.44756106582626987,16
ATM00010,SBI,26.799062,80.80006,Kanpur Nagar,Uttar Pradesh,12932,MEDIUM,8210794.697872967,2974695.8819999998,143,0.4247862050362332,16
ATM00011,BOB,26.924997,80.693846,Kanpur Nagar,Uttar Pradesh,6074,LOW,8200001.372372467,2988674.667,65,0.2437161698877008,22
ATM00012,AXIS,26.701201,80.852653,Kanpur Nagar,Uttar Pradesh,13009,LOW,8216139.128626426,2963833.311,67,0.1952161335476843,17
ATM00013,HDFC,26.815949,81.145823,Kanpur Nagar,Uttar Pradesh,6724,LOW,8245930.67434527,2976570.339,131,0.19896571193361426,16
ATM00014,KOTAK,26.636472,80.956164,Kanpur Nagar,Uttar Pradesh,10391,LOW,8226657.7788597485,2956648.392,87,0.37628795274506144,19
ATM00015,SBI,26.91139,80.628715,Kanpur Nagar,Uttar Pradesh,12455,LOW,8193382.846724503,2987164.29,174,0.09707562722922249,16
ATM00016,HDFC,26.921981,80.715567,Kanpur Nagar,Uttar Pradesh,6701,LOW,8202208.631520945,2988339.891,65,0.2437161698877008,22
ATM00017,PNB,26.542236,81.26042,Gautam Buddh Nagar,Uttar Pradesh,14088,MEDIUM,8257575.869163097,2946188.196,111,0.43445379658349775,16
ATM00018,KOTAK,27.172642,81.162078,Gautam Buddh Nagar,Uttar Pradesh,9959,LOW,8247582.485839146,3016163.262,0,0.4887249136870239,22
ATM00019,HDFC,26.70993,80.66457,Gautam Buddh Nagar,Uttar Pradesh,1250,MEDIUM,8197026.384166086,2964802.23,57,0.7815283808883883,19
ATM00020,PNB,26.975663,80.904307,Gautam Buddh Nagar,Uttar Pradesh,1807,HIGH,8221388.139448001,2994298.593,182,0.05782093897988543,18
ATM00021,HDFC,26.582127,80.942824,Gautam Buddh Nagar,Uttar Pradesh,6727,LOW,8225302.185791258,2950616.097,87,0.37628795274506144,19
ATM00022,KOTAK,26.520772,81.232724,Gautam Buddh Nagar,Uttar Pradesh,3164,LOW,8254761.438456583,2943805.6920000003,111,0.43445379658349775,16
ATM00023,AXIS,26.677846,81.059966,Gautam Buddh Nagar,Uttar Pradesh,11480,LOW,8237206.000126275,2961240.906,108,0.24399551882106096,17
ATM00024,HDFC,26.714898,80.960248,Gautam Buddh Nagar,Uttar Pradesh,10480,MEDIUM,8227072.789511302,2965353.6780000003,59,0.44756106582626987,16
ATM00025,UNION,26.879397,80.725598,Ghaziabad,Uttar Pradesh,12446,LOW,8203227.968407755,2983613.0670000003,65,0.2437161698877008,22
ATM00026,CANARA,27.175409,81.138793,Ghaziabad,Uttar Pradesh,6716,LOW,8245216.295089537,3016470.3989999997,0,0.4887249136870239,22
ATM00027,UNION,27.154349,81.222579,Ghaziabad,Uttar Pradesh,4098,MEDIUM,8253730.517041301,3014132.739,115,0.05974607437872423,11
ATM00028,SBI,26.91523,81.241512,Ghaziabad,Uttar Pradesh,4252,MEDIUM,8255654.463335585,2987590.5300000003,44,0.20794781477651983,11
ATM00029,KOTAK,26.558645,80.733388,Ghaziabad,Uttar Pradesh,7072,LOW,8204019.577853297,2948009.5949999997,54,0.17168085245010734,9
ATM00030,AXIS,26.528359,80.823931,Ghaziabad,Uttar Pradesh,9792,HIGH,8213220.437163668,2944647.849,151,0.24666815761104202,20
ATM00031,KOTAK,26.768774,80.786144,Ghaziabad,Uttar Pradesh,3983,MEDIUM,8209380.572450095,2971333.914,143,0.4247862050362332,16
ATM00032,BOB,27.076816,80.845927,Ghaziabad,Uttar Pradesh,14994,HIGH,8215455.641446616,3005526.576,154,0.02897358937714206,16
ATM00033,CANARA,26.693354,80.976087,Varanasi,Uttar Pradesh,2840,LOW,8228682.327638125,2962962.2939999998,59,0.44756106582626987,16
ATM00034,AXIS,26.595347,81.157738,Varanasi,Uttar Pradesh,12705,MEDIUM,8247141.460807868,2952083.517,97,0.13729969726186167,11
ATM00035,PNB,26.548885,81.287021,Varanasi,Uttar Pradesh,12739,MEDIUM,8260279.027425085,2946926.235,111,0.43445379658349775,16
ATM00036,IDBI,27.037271,80.735301,Varanasi,Uttar Pradesh,7043,LOW,8204213.97437054,3001137.0810000002,110,0.3456711278711885,11
ATM00037,ICICI,26.500565,81.167023,Varanasi,Uttar Pradesh,8848,LOW,8248084.99016626,2941562.7150000003,166,0.03786578119975093,9
ATM00038,SBI,26.9915,81.106505,Varanasi,Uttar Pradesh,14608,LOW,8241935.231446701,2996056.5,82,0.2523744328825002,11
ATM00039,ICICI,27.036589,80.648031,Varanasi,Uttar Pradesh,13477,MEDIUM,8195345.712969703,3001061.3789999997,7,0.023613488817947396,14
ATM00040,IDBI,26.747626,80.677308,Varanasi,Uttar Pradesh,1540,LOW,8198320.8027947545,2968986.486,57,0.7815283808883883,19
ATM00041,IDBI,27.100872,81.032509,Agra,Uttar Pradesh,8168,MEDIUM,8234415.856282081,3008196.792,66,0.08382831841287033,19
ATM00042,UNION,26.728329,80.640691,Agra,Uttar Pradesh,14603,HIGH,8194599.83192602,2966844.519,57,0.7815283808883883,19
ATM00043,HDFC,26.714388,80.823828,Agra,Uttar Pradesh,11669,HIGH,8213209.970440576,2965297.068,67,0.1952161335476843,17
ATM00044,PNB,27.007424,81.04249,Agra,Uttar Pradesh,13092,MEDIUM,8235430.11223535,2997824.0640000002,84,0.4499149408235311,20
ATM00045,HDFC,27.117749,80.92675,Agra,Uttar Pradesh,5308,LOW,8223668.767276796,3010070.139,51,0.39822480469476634,17
ATM00046,CANARA,26.580416,81.095471,Agra,Uttar Pradesh,553,HIGH,8240813.971033079,2950426.176,177,0.024853835624769796,17
ATM00047,PNB,27.02925,80.989094,Agra,Uttar Pradesh,8701,MEDIUM,8230004.081689238,3000246.75,84,0.4499149408235311,20
ATM00048,UNION,27.036377,80.941857,Agra,Uttar Pradesh,2243,HIGH,8225203.920536593,3001037.847,84,0.4499149408235311,20
ATM00049,PNB,26.862613,80.895479,Prayagraj,Uttar Pradesh,14289,MEDIUM,8220491.049822165,2981750.043,56,0.025485174063857897,9
ATM00050,IDBI,26.514493,80.671724,Prayagraj,Uttar Pradesh,3758,LOW,8197753.3641369995,2943108.723,144,0.0,21
ATM00051,ICICI,26.5187,81.041687,Prayagraj,Uttar Pradesh,9337,HIGH,8235348.512442696,2943575.6999999997,167,0.18091132230604762,19
ATM00052,UNION,26.716749,80.952199,Prayagraj,Uttar Pradesh,509,MEDIUM,8226254.86083002,2965559.139,59,0.44756106582626987,16
ATM00053,CANARA,27.131997,80.770705,Prayagraj,Uttar Pradesh,819,LOW,8207811.681791593,3011651.667,89,0.34387648860182984,22
ATM00054,KOTAK,26.783968,81.125086,Prayagraj,Uttar Pradesh,14896,HIGH,8243823.407968861,2973020.4480000003,131,0.19896571193361426,16
ATM00055,PNB,26.656859,80.650086,Prayagraj,Uttar Pradesh,4423,LOW,8195554.539338199,2958911.349,181,0.02949553751772911,16
ATM00056,IDBI,26.699526,80.709055,Prayagraj,Uttar Pradesh,1790,LOW,8201546.890736687,2963647.386,57,0.7815283808883883,19
ATM00057,CANARA,27.147488,81.161884,Meerut,Uttar Pradesh,13869,LOW,8247562.771817012,3013371.168,0,0.4887249136870239,22
ATM00058,UNION,26.940083,81.206222,Meerut,Uttar Pradesh,13047,LOW,8252068.340443003,2990349.213,44,0.20794781477651983,11
ATM00059,CANARA,27.05927,80.726799,Meerut,Uttar Pradesh,9507,LOW,8203350.012431386,3003578.97,110,0.3456711278711885,11
ATM00060,UNION,27.121491,80.97374,Meerut,Uttar Pradesh,14793,MEDIUM,8228443.828617754,3010485.5009999997,51,0.39822480469476634,17
ATM00061,AXIS,27.061908,81.223464,Meerut,Uttar Pradesh,9335,MEDIUM,8253820.449564962,3003871.7879999997,93,0.2789491101886389,15
ATM00062,AXIS,26.719302,80.673236,Meerut,Uttar Pradesh,12180,LOW,8197907.011567252,2965842.522,57,0.7815283808883883,19
ATM00063,KOTAK,26.656255,80.895175,Meerut,Uttar Pradesh,7677,HIGH,8220460.157746241,2958844.305,183,0.035329658520349486,17
ATM00064,CANARA,27.06931,81.198711,Meerut,Uttar Pradesh,2482,LOW,8251305.082606615,3004693.41,93,0.2789491101886389,15
ATM00065,HDFC,26.501566,80.953723,Bareilly,Uttar Pradesh,6039,LOW,8226409.727684322,2941673.826,22,0.13615669120612467,17
ATM00066,UNION,26.788888,80.751675,Bareilly,Uttar Pradesh,4270,MEDIUM,8205877.878486242,2973566.568,143,0.4247862050362332,16
ATM00067,SBI,26.580606,80.832531,Bareilly,Uttar Pradesh,1663,MEDIUM,8214094.35773256,2950447.266,120,0.02437076938105656,11
ATM00068,SBI,27.156737,80.822442,Bareilly,Uttar Pradesh,4250,LOW,8213069.126962843,3014397.807,18,0.06074446265311362,16
ATM00069,SBI,26.859853,81.088313,Bareilly,Uttar Pradesh,14584,LOW,8240086.584587482,2981443.683,119,0.06752670893936297,22
ATM00070,UNION,26.751241,81.276447,Bareilly,Uttar Pradesh,4399,LOW,8259204.511600032,2969387.751,169,0.20711726956229667,18
ATM00071,CANARA,27.170413,80.772448,Bareilly,Uttar Pradesh,4010,MEDIUM,8207988.803134799,3015915.843,89,0.34387648860182984,22
ATM00072,IDBI,26.844774,80.806815,Bareilly,Uttar Pradesh,9940,LOW,8211481.131994231,2979769.9140000003,123,0.02668673203224539,20
ATM00073,CANARA,26.696088,80.622021,Aligarh,Uttar Pradesh,13730,LOW,8192702.611342158,2963265.768,57,0.7815283808883883,19
ATM00074,HDFC,26.923395,80.948075,Aligarh,Uttar Pradesh,2088,MEDIUM,8225835.7854316365,2988496.8449999997,62,0.05245682287217785,11
ATM00075,KOTAK,26.532735,80.791253,Aligarh,Uttar Pradesh,7439,LOW,8209899.742239219,2945133.585,151,0.24666815761104202,20
ATM00076,SBI,27.132486,80.763893,Aligarh,Uttar Pradesh,11532,MEDIUM,8207119.455406093,3011705.946,89,0.34387648860182984,22
ATM00077,HDFC,26.598126,80.938817,Aligarh,Uttar Pradesh,1493,LOW,8224894.999777356,2952391.986,87,0.37628795274506144,19
ATM00078,KOTAK,27.186655,80.765639,Aligarh,Uttar Pradesh,13616,HIGH,8207296.881605312,3017718.7049999996,89,0.34387648860182984,22
ATM00079,AXIS,26.967195,81.129334,Aligarh,Uttar Pradesh,3639,LOW,8244255.084082426,2993358.645,82,0.2523744328825002,11
ATM00080,CANARA,26.663046,81.105951,Aligarh,Uttar Pradesh,2796,LOW,8241878.934703077,2959598.106,108,0.24399551882106096,17
ATM00081,PNB,18.983448,72.970314,Mumbai City,Maharashtra,8079,LOW,7415146.316640428,2107162.728,12,0.1153960503635595,19
ATM00082,HDFC,19.169471,72.902742,Mumbai City,Maharashtra,7760,MEDIUM,7408279.739817036,2127811.281,130,0.6244119166917975,11
ATM00083,UNION,18.789203,73.112412,Mumbai City,Maharashtra,2104,LOW,7429586.126523965,2085601.533,75,0.1672622231891309,11
ATM00084,UNION,18.950546,72.658263,Mumbai City,Maharashtra,14197,LOW,7383436.108798183,2103510.606,180,0.09674678070487389,16
ATM00085,HDFC,18.754543,72.941325,Mumbai City,Maharashtra,12846,MEDIUM,7412200.492992567,2081754.2730000003,40,0.12980499130030326,22
ATM00086,ICICI,19.200295,72.539311,Mumbai City,Maharashtra,7158,LOW,7371348.364669014,2131232.745,81,0.1038337707103437,18
ATM00087,AXIS,19.084465,72.686247,Mumbai City,Maharashtra,14666,LOW,7386279.805681887,2118375.615,149,0.3770635150869998,17
ATM00088,SBI,19.177621,72.649757,Mumbai City,Maharashtra,3197,LOW,7382571.740384344,2128715.931,20,0.8544030051805716,11
ATM00089,BOB,19.209656,72.798415,Mumbai Suburban,Maharashtra,4845,HIGH,7397678.16874834,2132271.816,90,0.13967713705873616,17
ATM00090,CANARA,19.381711,72.623965,Mumbai Suburban,Maharashtra,5173,LOW,7379950.7916270355,2151369.921,15,0.0870591565080194,22
ATM00091,UNION,18.964746,72.607131,Mumbai Suburban,Maharashtra,11344,MEDIUM,7378240.142922765,2105086.8060000003,101,0.3705359123212408,11
ATM00092,ICICI,19.373286,73.141838,Mumbai Suburban,Maharashtra,3611,LOW,7432576.357530967,2150434.746,135,0.4760667828198638,10
ATM00093,SBI,18.906559,72.989689,Mumbai Suburban,Maharashtra,9989,MEDIUM,7417115.178387205,2098628.049,172,0.12364492435272838,20
ATM00094,SBI,19.298056,72.916341,Mumbai Suburban,Maharashtra,12754,LOW,7409661.6521212645,2142084.216,95,0.41076390755137326,17
ATM00095,SBI,19.096755,72.696997,Mumbai Suburban,Maharashtra,10071,LOW,7387372.2063930025,2119739.805,149,0.3770635150869998,17
ATM00096,UNION,18.791172,73.155751,Mumbai Suburban,Maharashtra,3079,LOW,7433990.1780978255,2085820.092,75,0.1672622231891309,11
ATM00097,UNION,19.356293,72.970871,Pune,Maharashtra,1812,HIGH,7415202.918240065,2148548.523,61,0.43696729248239424,11
ATM00098,HDFC,18.963321,72.772147,Pune,Maharashtra,10249,LOW,7395008.849503729,2104928.631,30,0.36088882725429106,22
ATM00099,AXIS,19.234169,73.155677,Pune,Maharashtra,7115,LOW,7433982.658316187,2134992.759,68,0.12036348251907317,20
ATM00100,IDBI,19.34696,73.073613,Pune,Maharashtra,4533,MEDIUM,7425643.42371554,2147512.56,64,0.09225126468816264,10
ATM00101,SBI,19.175422,72.586598,Pune,Maharashtra,10647,LOW,7376153.606755199,2128471.842,150,0.18080760043396762,11
ATM00102,IDBI,18.83914,73.156688,Pune,Maharashtra,9760,MEDIUM,7434085.394792368,2091144.54,23,0.2275662449575805,19
ATM00103,PNB,19.1505,72.534138,Pune,Maharashtra,3846,MEDIUM,7370822.691284958,2125705.5,153,0.1639915723975975,9
ATM00104,KOTAK,18.79703,72.992151,Pune,Maharashtra,4410,LOW,7417365.363554719,2086470.3299999998,132,0.2696352904772204,18
ATM00105,ICICI,18.729543,72.640266,Nagpur,Maharashtra,11504,MEDIUM,7381607.277579769,2078979.273,112,0.22425050592813794,20
ATM00106,CANARA,19.110114,73.012027,Nagpur,Maharashtra,5680,HIGH,7419385.136255567,2121222.654,55,0.2099458805038231,17
ATM00107,HDFC,19.182373,72.684689,Nagpur,Maharashtra,652,LOW,7386121.48379278,2129243.403,20,0.8544030051805716,11
ATM00108,IDBI,19.224525,72.693774,Nagpur,Maharashtra,2138,LOW,7387044.68941701,2133922.275,20,0.8544030051805716,11
ATM00109,AXIS,18.95378,73.050244,Nagpur,Maharashtra,8788,LOW,7423268.696997584,2103869.5799999996,37,0.07301898572741536,18
ATM00110,KOTAK,19.180743,73.122156,Nagpur,Maharashtra,14932,LOW,7430576.298852254,2129062.4729999998,10,0.1479403170166854,19
ATM00111,AXIS,19.186329,72.925516,Nagpur,Maharashtra,6554,LOW,7410594.003425867,2129682.519,130,0.6244119166917975,11
ATM00112,CANARA,18.791572,72.785101,Nagpur,Maharashtra,14160,MEDIUM,7396325.217765288,2085864.4919999999,32,0.27995807687922797,20
ATM00113,PNB,18.911642,72.698493,Nashik,Maharashtra,10521,HIGH,7387524.227924522,2099192.262,137,0.08632226179381321,10
ATM00114,UNION,19.407107,72.802868,Nashik,Maharashtra,628,MEDIUM,7398130.676689418,2154188.877,28,0.44856762285409096,20
