state,Illegal Gain (Col.4),Revenge (Col.5),Insult to Modesty of Women (Col.6),Extortion/ Blackmailing (Col.7),Sexual Exploitation (Col.8),Causing Disrepute (Col.9),Inciting Hate Crimes against Community (Col.10),Developing own Business/ Interest (Col.11),Prank / Satisfaction of Gaining Control (Col.12),Political Motives (Col.13),Disrupt Public Services (Col.14),Piracy (Col.15),Steal Information for Espionage (Col.16),Sale/ Purchase of Illegal Drugs/ Other Items (Col.17),"Serious Psychiatric Illness viz. Perversion, etc. (Col.18)",Inciting Hate Crimes against Country (Col.19),Others (Col.20),motive_total,2019,2020_hist,2021_hist,hist_total,trend_2019_2021,2020_crime,2021_crime,2022,Mid-Year Projected Population (in Lakhs) (2022),Rate of Cognizable Crimes (IPC) (2022),Chargesheeting Rate (2022),cyber_activity,historical_activity,crime_rate_norm,state_weight
Andaman and Nicobar Islands,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,0,0,1.0,-1.0,482,386,460,4.0,114.4,83.9,1.3862943611198906,0.6931471805599453,4.748404354073999,0.013804424347430242
Andhra Pradesh,327.0,6.0,84.0,7.0,7.0,0.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,179.0,616.0,34.0,32,45,111.0,0.3235294117647059,188997,179611,158547,530.3,299.0,86.5,6.424869023905388,4.718498871295094,5.703782474656201,0.0430275232665703
Arunachal Pradesh,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0,0,0.0,0.0,2244,2626,2308,15.5,148.8,47.2,1.6094379124341003,0.0,5.00930107108312,0.013474800092203556
Assam,156.0,329.0,3.0,59.0,41.0,35.0,5.0,0.0,1.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,57.0,696.0,104.0,2,359,465.0,2.451923076923077,111558,119883,59315,354.9,167.1,32.6,6.546785410760524,6.144185634125646,5.12455904041457,0.04580828637542428
Bihar,198.0,91.0,0.0,1.0,6.0,0.0,0.0,3.0,0.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,6.0,309.0,3.0,1,1,5.0,-0.6666666666666666,194698,186006,211079,1255.3,168.1,75.4,5.736572297479192,1.791759469228055,5.130490255904535,0.03305646923858718
Chandigarh,3.0,2.0,0.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,26.0,0.0,1,0,1.0,0.0,2583,2401,2941,12.2,240.5,54.4,3.295836866004329,0.6931471805599453,5.486869473092628,0.022027416162200192
Chhattisgarh,4.0,19.0,9.0,1.0,11.0,12.0,0.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,90.0,5.0,3,1,9.0,-0.8,65216,70519,73822,299.5,246.5,80.4,4.51085950651685,2.302585092994046,5.511410582008745,0.030196605413539232
Dadra and Nagar Haveli and Daman and Diu,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0,0,0.0,0.0,441,490,1184,12.0,98.6,82.5,0.6931471805599453,0.0,4.601162164590552,0.009448773791682687
Delhi,36.0,9.0,17.0,0.0,3.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,98.0,5.0,0,0,5.0,-1.0,249192,291904,300429,211.0,1424.1,30.2,4.59511985013459,1.791759469228055,7.261997265679167,0.03197924238197144
Goa,20.0,0.0,0.0,2.0,0.0,1.0,0.0,1.0,3.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,31.0,0.0,0,0,0.0,0.0,3393,2099,2711,15.7,172.8,75.9,3.4657359027997265,0.0,5.157905212831292,0.020619299817258862
Gujarat,237.0,4.0,0.0,3.0,28.0,44.0,11.0,8.0,1.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,22.0,362.0,8.0,21,41,70.0,4.125,381849,273056,134600,709.3,189.8,89.8,5.8944028342648505,4.2626798770413155,5.251225759014186,0.039354168540899286
Haryana,196.0,6.0,16.0,19.0,10.0,1.0,0.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,137.0,401.0,3.0,1,3,7.0,0.0,103276,112720,125435,299.7,418.6,43.3,5.996452088619021,2.0794415416798357,6.039301876522142,0.03602509785523249
Himachal Pradesh,2.0,1.0,3.0,9.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,31.0,0.0,0,0,0.0,0.0,14803,13041,13231,74.4,177.8,82.9,3.4657359027997265,0.0,5.186267862739414,0.020661609730253747
Jammu and Kashmir,8.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,28.0,1.0,5,1,7.0,0.0,25233,27447,25915,135.4,191.4,77.1,3.367295829986474,2.0794415416798357,5.259576538231606,0.0250568511077505
Jharkhand,183.0,0.0,0.0,58.0,0.0,0.0,0.0,17.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,259.0,11.0,11,6,28.0,-0.45454545454545453,51033,47684,48726,391.4,124.5,58.2,5.560681631015528,3.367295829986474,4.832305758571839,0.03548114579784484
Karnataka,718.0,47.0,41.0,76.0,41.0,11.0,15.0,12.0,2.0,6.0,9.0,2.0,11.0,2.0,0.0,2.0,106.0,1101.0,0.0,0,0,0.0,0.0,106350,115728,129461,674.1,192.1,78.3,7.004881989712859,0.0,5.263208189434469,0.03397516637200594
Kerala,114.0,29.0,28.0,9.0,29.0,12.0,0.0,3.0,0.0,6.0,1.0,9.0,2.0,0.0,1.0,1.0,39.0,283.0,10.0,1,10,21.0,0.0,149099,142643,235858,356.8,661.0,96.0,5.648974238161206,3.091042453358316,6.495265555937008,0.037672987228861886
Ladakh,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,387,519,439,3.0,146.8,82.4,0.0,0.0,4.995860008514102,0.007452561836767106
Lakshadweep,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,107,89,64,0.7,92.8,73.5,0.0,0.0,4.541164856012179,0.006774271465314783
Madhya Pradesh,29.0,5.0,18.0,5.0,8.0,85.0,10.0,3.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,90.0,258.0,6.0,9,16,31.0,1.6666666666666667,283881,304066,298578,858.9,347.6,86.6,5.556828061699537,3.4657359027997265,5.85392513308592,0.03721104420036467
Maharashtra,1082.0,45.0,372.0,46.0,144.0,31.0,28.0,6.0,5.0,2.0,10.0,3.0,5.0,2.0,6.0,0.0,593.0,2380.0,33.0,27,27,87.0,-0.18181818181818182,394017,367218,374038,1257.4,297.5,75.3,7.7752758464868625,4.477336814478207,5.698769932832657,0.04751658157633423
Manipur,3.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,11.0,0.0,1,0,1.0,0.0,2349,2484,3029,32.0,94.6,10.4,2.4849066497880004,0.6931471805599453,4.560172820057356,0.017620760846140587
Meghalaya,14.0,3.0,3.0,3.0,1.0,4.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,0.0,0.0,7.0,39.0,0.0,2,1,3.0,0.0,2871,2672,2914,33.3,87.6,26.9,3.6888794541139363,1.3862943611198906,4.484131857611035,0.023548386469655076
Mizoram,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0,2,2.0,0.0,1787,2467,3587,12.3,291.6,58.0,0.6931471805599453,1.0986122886681098,5.678806488586024,0.013514625307116918
Nagaland,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0,0,0.0,0.0,1022,1033,1008,22.2,45.4,58.0,1.0986122886681098,0.0,3.8372994592322094,0.009821412421951137
Odisha,27.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,288.0,317.0,5.0,2,0,7.0,-1.0,108533,124956,143414,460.8,311.2,77.9,5.762051382780177,2.0794415416798357,5.743644008081332,0.03470988427378733
Puducherry,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0,0,0.0,0.0,6725,3851,3237,16.2,199.7,91.3,1.0986122886681098,0.0,5.301811255802292,0.012006094279731946
Punjab,24.0,8.0,5.0,11.0,14.0,3.0,0.0,0.0,1.0,0.0,1.0,5.0,0.0,1.0,0.0,0.0,29.0,102.0,10.0,6,15,31.0,0.5,49870,46454,43738,306.0,142.9,66.4,4.634728988229636,3.4657359027997265,4.969118613893322,0.03245228871702622
Rajasthan,263.0,53.0,5.0,32.0,14.0,21.0,8.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,542.0,941.0,16.0,26,48,90.0,2.0,193279,214552,236090,804.4,293.5,49.8,6.848005274576363,4.51085950651685,5.685279003091641,0.044113333637527105
Sikkim,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0,0,0.0,0.0,504,532,549,6.8,80.3,55.5,0.6931471805599453,0.0,4.398146016553765,0.00914592495393945
Tamil Nadu,65.0,16.0,2.0,5.0,22.0,7.0,10.0,4.0,0.0,2.0,4.0,0.0,0.0,0.0,0.0,0.0,7.0,144.0,15.0,43,17,75.0,0.13333333333333333,891700,322852,193913,767.1,252.8,70.7,4.976733742420574,4.330733340286331,5.536546555280287,0.0365097465063782
Telangana,267.0,217.0,5.0,28.0,21.0,0.0,1.0,6.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,45.0,593.0,23.0,49,47,119.0,1.0434782608695652,135885,146131,151849,379.5,400.1,79.1,6.386879319362645,4.787491742782046,5.9942107727760074,0.04347347126211135
