atm_id,bank_name,lat,lon,district,state,monthly_txn_vol,risk_zone
ATM00001,HDFC,26.758878,81.2617,Lucknow,Uttar Pradesh,909,MEDIUM
ATM00002,AXIS,27.009096,81.015261,Lucknow,Uttar Pradesh,4157,LOW
ATM00003,HDFC,26.605913,80.705396,Lucknow,Uttar Pradesh,11587,MEDIUM
ATM00004,UNION,26.537359,81.202523,Lucknow,Uttar Pradesh,1924,MEDIUM
ATM00005,SBI,26.917481,81.091851,Lucknow,Uttar Pradesh,988,LOW
ATM00006,AXIS,26.511109,81.275137,Lucknow,Uttar Pradesh,8779,MEDIUM
ATM00007,UNION,27.07941,80.744837,Lucknow,Uttar Pradesh,3757,MEDIUM
ATM00008,UNION,26.623977,80.724583,Lucknow,Uttar Pradesh,7373,LOW
ATM00009,IDBI,26.70967,80.96353,Kanpur Nagar,Uttar Pradesh,5057,MEDIUM
ATM00010,SBI,26.799062,80.80006,Kanpur Nagar,Uttar Pradesh,12932,MEDIUM
ATM00011,BOB,26.924997,80.693846,Kanpur Nagar,Uttar Pradesh,6074,LOW
ATM00012,AXIS,26.701201,80.852653,Kanpur Nagar,Uttar Pradesh,13009,LOW
ATM00013,HDFC,26.815949,81.145823,Kanpur Nagar,Uttar Pradesh,6724,LOW
ATM00014,KOTAK,26.636472,80.956164,Kanpur Nagar,Uttar Pradesh,10391,LOW
ATM00015,SBI,26.91139,80.628715,Kanpur Nagar,Uttar Pradesh,12455,LOW
ATM00016,HDFC,26.921981,80.715567,Kanpur Nagar,Uttar Pradesh,6701,LOW
ATM00017,PNB,26.542236,81.26042,Gautam Buddh Nagar,Uttar Pradesh,14088,MEDIUM
ATM00018,KOTAK,27.172642,81.162078,Gautam Buddh Nagar,Uttar Pradesh,9959,LOW
ATM00019,HDFC,26.70993,80.66457,Gautam Buddh Nagar,Uttar Pradesh,1250,MEDIUM
ATM00020,PNB,26.975663,80.904307,Gautam Buddh Nagar,Uttar Pradesh,1807,HIGH
ATM00021,HDFC,26.582127,80.942824,Gautam Buddh Nagar,Uttar Pradesh,6727,LOW
ATM00022,KOTAK,26.520772,81.232724,Gautam Buddh Nagar,Uttar Pradesh,3164,LOW
ATM00023,AXIS,26.677846,81.059966,Gautam Buddh Nagar,Uttar Pradesh,11480,LOW
ATM00024,HDFC,26.714898,80.960248,Gautam Buddh Nagar,Uttar Pradesh,10480,MEDIUM
ATM00025,UNION,26.879397,80.725598,Ghaziabad,Uttar Pradesh,12446,LOW
ATM00026,CANARA,27.175409,81.138793,Ghaziabad,Uttar Pradesh,6716,LOW
ATM00027,UNION,27.154349,81.222579,Ghaziabad,Uttar Pradesh,4098,MEDIUM
ATM00028,SBI,26.91523,81.241512,Ghaziabad,Uttar Pradesh,4252,MEDIUM
ATM00029,KOTAK,26.558645,80.733388,Ghaziabad,Uttar Pradesh,7072,LOW
ATM00030,AXIS,26.528359,80.823931,Ghaziabad,Uttar Pradesh,9792,HIGH
ATM00031,KOTAK,26.768774,80.786144,Ghaziabad,Uttar Pradesh,3983,MEDIUM
ATM00032,BOB,27.076816,80.845927,Ghaziabad,Uttar Pradesh,14994,HIGH
ATM00033,CANARA,26.693354,80.976087,Varanasi,Uttar Pradesh,2840,LOW
ATM00034,AXIS,26.595347,81.157738,Varanasi,Uttar Pradesh,12705,MEDIUM
ATM00035,PNB,26.548885,81.287021,Varanasi,Uttar Pradesh,12739,MEDIUM
ATM00036,IDBI,27.037271,80.735301,Varanasi,Uttar Pradesh,7043,LOW
ATM00037,ICICI,26.500565,81.167023,Varanasi,Uttar Pradesh,8848,LOW
ATM00038,SBI,26.9915,81.106505,Varanasi,Uttar Pradesh,14608,LOW
ATM00039,ICICI,27.036589,80.648031,Varanasi,Uttar Pradesh,13477,MEDIUM
ATM00040,IDBI,26.747626,80.677308,Varanasi,Uttar Pradesh,1540,LOW
ATM00041,IDBI,27.100872,81.032509,Agra,Uttar Pradesh,8168,MEDIUM
ATM00042,UNION,26.728329,80.640691,Agra,Uttar Pradesh,14603,HIGH
ATM00043,HDFC,26.714388,80.823828,Agra,Uttar Pradesh,11669,HIGH
ATM00044,PNB,27.007424,81.04249,Agra,Uttar Pradesh,13092,MEDIUM
ATM00045,HDFC,27.117749,80.92675,Agra,Uttar Pradesh,5308,LOW
ATM00046,CANARA,26.580416,81.095471,Agra,Uttar Pradesh,553,HIGH
ATM00047,PNB,27.02925,80.989094,Agra,Uttar Pradesh,8701,MEDIUM
ATM00048,UNION,27.036377,80.941857,Agra,Uttar Pradesh,2243,HIGH
ATM00049,PNB,26.862613,80.895479,Prayagraj,Uttar Pradesh,14289,MEDIUM
ATM00050,IDBI,26.514493,80.671724,Prayagraj,Uttar Pradesh,3758,LOW
ATM00051,ICICI,26.5187,81.041687,Prayagraj,Uttar Pradesh,9337,HIGH
ATM00052,UNION,26.716749,80.952199,Prayagraj,Uttar Pradesh,509,MEDIUM
ATM00053,CANARA,27.131997,80.770705,Prayagraj,Uttar Pradesh,819,LOW
ATM00054,KOTAK,26.783968,81.125086,Prayagraj,Uttar Pradesh,14896,HIGH
ATM00055,PNB,26.656859,80.650086,Prayagraj,Uttar Pradesh,4423,LOW
ATM00056,IDBI,26.699526,80.709055,Prayagraj,Uttar Pradesh,1790,LOW
ATM00057,CANARA,27.147488,81.161884,Meerut,Uttar Pradesh,13869,LOW
ATM00058,UNION,26.940083,81.206222,Meerut,Uttar Pradesh,13047,LOW
ATM00059,CANARA,27.05927,80.726799,Meerut,Uttar Pradesh,9507,LOW
ATM00060,UNION,27.121491,80.97374,Meerut,Uttar Pradesh,14793,MEDIUM
ATM00061,AXIS,27.061908,81.223464,Meerut,Uttar Pradesh,9335,MEDIUM
ATM00062,AXIS,26.719302,80.673236,Meerut,Uttar Pradesh,12180,LOW
ATM00063,KOTAK,26.656255,80.895175,Meerut,Uttar Pradesh,7677,HIGH
ATM00064,CANARA,27.06931,81.198711,Meerut,Uttar Pradesh,2482,LOW
ATM00065,HDFC,26.501566,80.953723,Bareilly,Uttar Pradesh,6039,LOW
ATM00066,UNION,26.788888,80.751675,Bareilly,Uttar Pradesh,4270,MEDIUM
ATM00067,SBI,26.580606,80.832531,Bareilly,Uttar Pradesh,1663,MEDIUM
ATM00068,SBI,27.156737,80.822442,Bareilly,Uttar Pradesh,4250,LOW
ATM00069,SBI,26.859853,81.088313,Bareilly,Uttar Pradesh,14584,LOW
ATM00070,UNION,26.751241,81.276447,Bareilly,Uttar Pradesh,4399,LOW
ATM00071,CANARA,27.170413,80.772448,Bareilly,Uttar Pradesh,4010,MEDIUM
ATM00072,IDBI,26.844774,80.806815,Bareilly,Uttar Pradesh,9940,LOW
ATM00073,CANARA,26.696088,80.622021,Aligarh,Uttar Pradesh,13730,LOW
ATM00074,HDFC,26.923395,80.948075,Aligarh,Uttar Pradesh,2088,MEDIUM
ATM00075,KOTAK,26.532735,80.791253,Aligarh,Uttar Pradesh,7439,LOW
ATM00076,SBI,27.132486,80.763893,Aligarh,Uttar Pradesh,11532,MEDIUM
ATM00077,HDFC,26.598126,80.938817,Aligarh,Uttar Pradesh,1493,LOW
ATM00078,KOTAK,27.186655,80.765639,Aligarh,Uttar Pradesh,13616,HIGH
ATM00079,AXIS,26.967195,81.129334,Aligarh,Uttar Pradesh,3639,LOW
ATM00080,CANARA,26.663046,81.105951,Aligarh,Uttar Pradesh,2796,LOW
ATM00081,PNB,18.983448,72.970314,Mumbai City,Maharashtra,8079,LOW
ATM00082,HDFC,19.169471,72.902742,Mumbai City,Maharashtra,7760,MEDIUM
ATM00083,UNION,18.789203,73.112412,Mumbai City,Maharashtra,2104,LOW
ATM00084,UNION,18.950546,72.658263,Mumbai City,Maharashtra,14197,LOW
ATM00085,HDFC,18.754543,72.941325,Mumbai City,Maharashtra,12846,MEDIUM
ATM00086,ICICI,19.200295,72.539311,Mumbai City,Maharashtra,7158,LOW
ATM00087,AXIS,19.084465,72.686247,Mumbai City,Maharashtra,14666,LOW
ATM00088,SBI,19.177621,72.649757,Mumbai City,Maharashtra,3197,LOW
ATM00089,BOB,19.209656,72.798415,Mumbai Suburban,Maharashtra,4845,HIGH
ATM00090,CANARA,19.381711,72.623965,Mumbai Suburban,Maharashtra,5173,LOW
ATM00091,UNION,18.964746,72.607131,Mumbai Suburban,Maharashtra,11344,MEDIUM
ATM00092,ICICI,19.373286,73.141838,Mumbai Suburban,Maharashtra,3611,LOW
ATM00093,SBI,18.906559,72.989689,Mumbai Suburban,Maharashtra,9989,MEDIUM
ATM00094,SBI,19.298056,72.916341,Mumbai Suburban,Maharashtra,12754,LOW
ATM00095,SBI,19.096755,72.696997,Mumbai Suburban,Maharashtra,10071,LOW
ATM00096,UNION,18.791172,73.155751,Mumbai Suburban,Maharashtra,3079,LOW
ATM00097,UNION,19.356293,72.970871,Pune,Maharashtra,1812,HIGH
ATM00098,HDFC,18.963321,72.772147,Pune,Maharashtra,10249,LOW
ATM00099,AXIS,19.234169,73.155677,Pune,Maharashtra,7115,LOW
ATM00100,IDBI,19.34696,73.073613,Pune,Maharashtra,4533,MEDIUM
ATM00101,SBI,19.175422,72.586598,Pune,Maharashtra,10647,LOW
ATM00102,IDBI,18.83914,73.156688,Pune,Maharashtra,9760,MEDIUM
ATM00103,PNB,19.1505,72.534138,Pune,Maharashtra,3846,MEDIUM
ATM00104,KOTAK,18.79703,72.992151,Pune,Maharashtra,4410,LOW
ATM00105,ICICI,18.729543,72.640266,Nagpur,Maharashtra,11504,MEDIUM
ATM00106,CANARA,19.110114,73.012027,Nagpur,Maharashtra,5680,HIGH
ATM00107,HDFC,19.182373,72.684689,Nagpur,Maharashtra,652,LOW
ATM00108,IDBI,19.224525,72.693774,Nagpur,Maharashtra,2138,LOW
ATM00109,AXIS,18.95378,73.050244,Nagpur,Maharashtra,8788,LOW
ATM00110,KOTAK,19.180743,73.122156,Nagpur,Maharashtra,14932,LOW
ATM00111,AXIS,19.186329,72.925516,Nagpur,Maharashtra,6554,LOW
ATM00112,CANARA,18.791572,72.785101,Nagpur,Maharashtra,14160,MEDIUM
ATM00113,PNB,18.911642,72.698493,Nashik,Maharashtra,10521,HIGH
ATM00114,UNION,19.407107,72.802868,Nashik,Maharashtra,628,MEDIUM
ATM00115,UNION,19.350433,72.969497,Nashik,Maharashtra,5405,HIGH
ATM00116,HDFC,19.282368,72.879546,Nashik,Maharashtra,14887,LOW
ATM00117,HDFC,19.129833,72.872462,Nashik,Maharashtra,2253,MEDIUM
ATM00118,ICICI,18.86267,73.033416,Nashik,Maharashtra,4962,LOW
ATM00119,AXIS,18.922541,72.544721,Nashik,Maharashtra,12257,LOW
ATM00120,PNB,19.177831,72.651677,Nashik,Maharashtra,8780,LOW
ATM00121,SBI,19.384321,73.19545,Thane,Maharashtra,2012,MEDIUM
ATM00122,PNB,19.366405,72.786811,Thane,Maharashtra,1222,LOW
ATM00123,ICICI,18.73682,73.177523,Thane,Maharashtra,10938,HIGH
ATM00124,ICICI,19.025729,73.204358,Thane,Maharashtra,12644,LOW
ATM00125,BOB,19.400534,73.124807,Thane,Maharashtra,9689,LOW
ATM00126,HDFC,18.932114,72.797268,Thane,Maharashtra,14968,MEDIUM
ATM00127,ICICI,19.321796,72.749545,Thane,Maharashtra,9438,LOW
ATM00128,KOTAK,18.844645,72.917461,Thane,Maharashtra,10043,MEDIUM
ATM00129,BOB,17.690308,78.623921,Hyderabad,Telangana,2588,LOW
ATM00130,KOTAK,17.434043,78.204724,Hyderabad,Telangana,13543,HIGH
ATM00131,SBI,17.465505,78.829738,Hyderabad,Telangana,6362,LOW
ATM00132,AXIS,17.133059,78.499531,Hyderabad,Telangana,11427,LOW
ATM00133,UNION,17.649161,78.655238,Hyderabad,Telangana,14985,HIGH
ATM00134,IDBI,17.522911,78.628439,Hyderabad,Telangana,12779,LOW
ATM00135,AXIS,17.286644,78.342214,Hyderabad,Telangana,14665,LOW
ATM00136,ICICI,17.601553,78.703779,Hyderabad,Telangana,14941,LOW
ATM00137,ICICI,17.641951,78.775968,Rangareddy,Telangana,12567,HIGH
ATM00138,BOB,17.39294,78.487761,Rangareddy,Telangana,13643,MEDIUM
ATM00139,AXIS,17.593807,78.591675,Rangareddy,Telangana,4871,LOW
ATM00140,HDFC,17.526377,78.693755,Rangareddy,Telangana,6767,HIGH
ATM00141,CANARA,17.658004,78.373297,Rangareddy,Telangana,4144,LOW
ATM00142,CANARA,17.297908,78.202487,Rangareddy,Telangana,6228,LOW
ATM00143,AXIS,17.439796,78.16186,Rangareddy,Telangana,4152,LOW
ATM00144,AXIS,17.360919,78.516551,Rangareddy,Telangana,7028,LOW
ATM00145,HDFC,17.235579,78.550283,Warangal Urban,Telangana,13170,LOW
ATM00146,UNION,17.05635,78.162844,Warangal Urban,Telangana,7048,MEDIUM
ATM00147,UNION,17.61082,78.388833,Warangal Urban,Telangana,5925,HIGH
ATM00148,HDFC,17.123942,78.50227,Warangal Urban,Telangana,14869,HIGH
ATM00149,ICICI,17.573995,78.287775,Warangal Urban,Telangana,10012,HIGH
ATM00150,PNB,17.471023,78.196443,Warangal Urban,Telangana,1126,LOW
ATM00151,BOB,17.071177,78.508648,Warangal Urban,Telangana,6163,MEDIUM
ATM00152,KOTAK,17.413445,78.582901,Warangal Urban,Telangana,7649,MEDIUM
ATM00153,UNION,17.543264,78.819796,Nizamabad,Telangana,2394,LOW
ATM00154,IDBI,17.39641,78.36277,Nizamabad,Telangana,3614,LOW
ATM00155,BOB,17.59163,78.326283,Nizamabad,Telangana,527,MEDIUM
ATM00156,UNION,17.34228,78.191619,Nizamabad,Telangana,11753,MEDIUM
ATM00157,AXIS,17.052746,78.810554,Nizamabad,Telangana,6467,LOW
ATM00158,KOTAK,17.620186,78.623882,Nizamabad,Telangana,10709,LOW
ATM00159,HDFC,17.321267,78.258006,Nizamabad,Telangana,12292,HIGH
ATM00160,UNION,17.144506,78.31187,Nizamabad,Telangana,5567,MEDIUM
ATM00161,KOTAK,17.419459,78.636917,Karimnagar,Telangana,7092,MEDIUM
ATM00162,UNION,17.497138,78.332654,Karimnagar,Telangana,2585,LOW
ATM00163,BOB,17.703406,78.653228,Karimnagar,Telangana,11597,MEDIUM
ATM00164,ICICI,17.423048,78.564905,Karimnagar,Telangana,10584,MEDIUM
ATM00165,BOB,17.32872,78.310112,Karimnagar,Telangana,9477,MEDIUM
ATM00166,PNB,17.284181,78.667192,Karimnagar,Telangana,5200,LOW
ATM00167,IDBI,17.045075,78.217951,Karimnagar,Telangana,10439,MEDIUM
ATM00168,CANARA,17.067202,78.16521,Karimnagar,Telangana,7738,LOW
